X,Y,Z
1.959999990463256792e+00,4.205362337919016369e-03,1.973224363834315431e+00
1.959999990463256792e+00,4.205362337919016369e-03,2.026775755374974342e+00
1.959999990463256792e+00,4.205362337919016369e-03,2.080327146915633030e+00
1.959999990463256792e+00,4.205362337919016369e-03,2.133878538456292162e+00
1.959999990463256792e+00,4.205362337919016369e-03,2.187429929996950850e+00
1.959999990463256792e+00,4.205362337919016369e-03,2.240981321537609539e+00
1.959999990463256792e+00,4.205362337919016369e-03,2.294532713078268227e+00
1.959999990463256792e+00,4.205362337919016369e-03,2.348084104618927359e+00
1.959999990463256792e+00,4.069235847233277498e-03,2.401565933809841624e+00
1.959999990463256792e+00,-1.858234591782093048e-02,2.441703796386718750e+00
1.959999990463256792e+00,-4.102772263161088423e-02,2.476844089136664095e+00
1.959999990463256792e+00,-8.712262425986758152e-02,2.539067221629114357e+00
1.959999990463256792e+00,-6.144284465422478192e-02,2.505797291776209246e+00
1.959999990463256792e+00,-4.579463765708102763e-02,2.462427695499759039e+00
1.959999990463256792e+00,-4.579463765708102763e-02,2.408024430193358434e+00
1.959999990463256792e+00,-4.579463765708102763e-02,2.353621164886958272e+00
1.959999990463256792e+00,-4.579463765708102763e-02,2.299217899580557667e+00
1.959999990463256792e+00,-4.579463765708102763e-02,2.244814634274157061e+00
1.959999990463256792e+00,-4.579463765708102763e-02,2.190411368967756900e+00
1.959999990463256792e+00,-4.579463765708102763e-02,2.136008103661356294e+00
1.959999990463256792e+00,-4.579463765708102763e-02,2.081604838354955689e+00
1.959999990463256792e+00,-4.579463765708102763e-02,2.027201573048555527e+00
1.959999990463256792e+00,-4.579463765708102763e-02,1.972798307742155144e+00
1.959999990463256792e+00,-4.579463765708102763e-02,1.918395042435754538e+00
1.959999990463256792e+00,-4.579463765708102763e-02,1.863991777129354155e+00
1.959999990463256792e+00,-4.579463765708102763e-02,1.809588511822953771e+00
1.959999990463256792e+00,-4.579463765708102763e-02,1.755185246516553388e+00
1.959999990463256792e+00,-4.579463765708102763e-02,1.700781981210152782e+00
1.959999990463256792e+00,-4.579463765708102763e-02,1.646378715903752399e+00
1.959999990463256792e+00,-4.579463765708102763e-02,1.591975450597352015e+00
1.959999990463256792e+00,-4.579463765708102763e-02,1.537572185290951632e+00
1.959999990463256792e+00,-6.144295693939848951e-02,1.494202668187625482e+00
1.959999990463256792e+00,-8.712274315560013249e-02,1.460932631310566165e+00
1.959999990463256792e+00,-1.203982706357151766e-01,1.422587535727996677e+00
1.959999990463256792e+00,-9.579463765208107162e-02,1.451621947190868234e+00
1.959999990463256792e+00,-9.579463765208107162e-02,1.503848428410785587e+00
1.959999990463256792e+00,-9.579463765208107162e-02,1.556074909630702940e+00
1.959999990463256792e+00,-9.579463765208107162e-02,1.608301390850620294e+00
1.959999990463256792e+00,-9.579463765208107162e-02,1.660527872070537647e+00
1.959999990463256792e+00,-9.579463765208107162e-02,1.712754353290454779e+00
1.959999990463256792e+00,-9.579463765208107162e-02,1.764980834510372132e+00
1.959999990463256792e+00,-9.579463765208107162e-02,1.817207315730289485e+00
1.959999990463256792e+00,-9.579463765208107162e-02,1.869433796950206617e+00
1.959999990463256792e+00,-9.579463765208107162e-02,1.921660278170123970e+00
1.959999990463256792e+00,-9.579463765208107162e-02,1.973886759390041323e+00
1.959999990463256792e+00,-9.579463765208107162e-02,2.026113240609958677e+00
1.959999990463256792e+00,-9.579463765208107162e-02,2.078339721829876030e+00
1.959999990463256792e+00,-9.579463765208107162e-02,2.130566203049793383e+00
1.959999990463256792e+00,-9.579463765208107162e-02,2.182792684269710293e+00
1.959999990463256792e+00,-9.579463765208107162e-02,2.235019165489627646e+00
1.959999990463256792e+00,-9.579463765208107162e-02,2.287245646709544999e+00
1.959999990463256792e+00,-9.579463765208107162e-02,2.339472127929462353e+00
1.959999990463256792e+00,-9.579463765208107162e-02,2.391698609149379706e+00
1.959999990463256792e+00,-9.579463765208107162e-02,2.443925090369297060e+00
1.959999990463256792e+00,-9.579463765208107162e-02,2.496151571589214413e+00
1.959999990463256792e+00,-9.579463765208107162e-02,2.548378052809131766e+00
